filename,unique_id,Total,chromosome,ecDNA,MIA_total,TP,TP_partial,FN,FP,ref_total
NCIH2170_HIGH_HER2_R1_G1_2404_S2_1_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_1_Merge(RGB),160,4,156,106,69,16,75,21,160
NCIH2170_HIGH_HER2_R1_G0_2501_96_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_96,194,2,192,55,19,30,145,6,194
NCIH2170_LOW_HER2_R1_G0_2501_62_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_62,138,15,123,46,13,24,101,9,138
NCIH2170_TOTAL_HER2_R1_G0_2501_53_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_53,150,5,145,42,21,16,113,5,150
NCIH2170_LOW_HER2_R1_G1_2404_20_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_20_Merge(RGB),109,0,109,103,14,45,50,44,109
NCIH2170_HIGH_HER2_R1_G1_2404_S2_45_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_45_Merge(RGB),813,0,813,177,85,61,667,31,813
NCIH2170_LOW_HER2_R1_G1_2404_10_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_10_Merge(RGB),100,11,89,52,32,12,56,8,100
NCIH2170_HIGH_HER2_R1_G2_24_10_91_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_91_Merge(RGB),128,28,100,69,37,18,73,14,128
NCIH2170_LOW_HER2_R1_G1_2404_42_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_42_Merge(RGB),78,25,53,27,12,9,57,6,78
NCIH2170_TOTAL_HER2_R1_G2_24_10_66_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_66_Merge(RGB),180,7,173,60,27,25,128,8,180
NCIH2170_HIGH_HER2_R1_G0_2501_110_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_110,190,2,188,53,13,21,156,19,190
NCIH2170_LOW_HER2_R1_G0_2501_109_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_109,135,14,121,73,20,36,79,17,135
NCIH2170_LOW_HER2_R1_G0_2501_5_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_5,87,0,87,56,0,13,74,43,87
NCIH2170_HIGH_HER2_R1_G2_24_10_49_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_49_Merge(RGB),127,4,123,63,26,30,71,7,127
NCIH2170_TOTAL_HER2_R1_G0_2501_56B_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_56B,181,13,168,26,9,17,155,0,181
NCIH2170_LOW_HER2_R1_G2_24_10_52_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_52_Merge(RGB),164,6,158,134,67,32,65,35,164
NCIH2170_TOTAL_HER2_R1_G1_2404_42_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_42_Merge(RGB),202,0,202,105,56,31,115,18,202
NCIH2170_TOTAL_HER2_R1_G0_2501_106_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_106,132,0,132,26,10,16,106,0,132
