filename,unique_id,Total,chromosome,ecDNA
NCIH2170_LOW_HER2_R1_G0_2501_100_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_100,102,2,100
NCIH2170_LOW_HER2_R1_G0_2501_60_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_60,97,3,94
NCIH2170_HIGH_HER2_R1_G0_2501_39_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_39,148,5,143
NCIH2170_HIGH_HER2_R1_G1_2404_S2_2_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_2_Merge(RGB),107,3,104
NCIH2170_LOW_HER2_R1_G0_2501_17_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_17,104,3,101
NCIH2170_HIGH_HER2_R1_G1_2404_S2_122_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_122_Merge(RGB),258,11,247
NCIH2170_TOTAL_HER2_R1_G0_2501_47A_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_47A,232,0,232
NCIH2170_HIGH_HER2_R1_G1_2404_S2_111_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_111_Merge(RGB),100,5,95
NCIH2170_TOTAL_HER2_R1_G0_2501_37_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_37,431,6,425
NCIH2170_HIGH_HER2_R1_G1_2404_S2_36_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_36_Merge(RGB),309,0,309
NCIH2170_LOW_HER2_R1_G2_24_10_84_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_84_Merge(RGB),268,12,256
NCIH2170_LOW_HER2_R1_G0_2501_14_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_14,177,4,173
NCIH2170_TOTAL_HER2_R1_G1_2404_9_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_9_Merge(RGB),178,7,171
NCIH2170_HIGH_HER2_R1_G1_2404_S2_93_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_93_Merge(RGB),98,5,93
NCIH2170_LOW_HER2_R1_G2_24_10_69_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_69_Merge(RGB),232,0,232
NCIH2170_HIGH_HER2_R1_G1_2404_S2_1_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_1_Merge(RGB),160,4,156
NCIH2170_HIGH_HER2_R1_G0_2501_96_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_96,194,2,192
NCIH2170_LOW_HER2_R1_G0_2501_62_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_62,138,15,123
NCIH2170_TOTAL_HER2_R1_G0_2501_53_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_53,150,5,145
NCIH2170_LOW_HER2_R1_G1_2404_20_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_20_Merge(RGB),109,0,109
NCIH2170_HIGH_HER2_R1_G1_2404_S2_45_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_45_Merge(RGB),813,0,813
NCIH2170_LOW_HER2_R1_G1_2404_10_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_10_Merge(RGB),100,11,89
NCIH2170_HIGH_HER2_R1_G2_24_10_91_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_91_Merge(RGB),128,28,100
NCIH2170_LOW_HER2_R1_G1_2404_42_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_42_Merge(RGB),78,25,53
NCIH2170_TOTAL_HER2_R1_G2_24_10_66_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_66_Merge(RGB),180,7,173
NCIH2170_HIGH_HER2_R1_G0_2501_110_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_110,190,2,188
NCIH2170_LOW_HER2_R1_G0_2501_109_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_109,135,14,121
NCIH2170_LOW_HER2_R1_G0_2501_5_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_5,87,0,87
NCIH2170_HIGH_HER2_R1_G2_24_10_49_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_49_Merge(RGB),127,4,123
NCIH2170_TOTAL_HER2_R1_G0_2501_56B_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_56B,181,13,168
NCIH2170_LOW_HER2_R1_G2_24_10_52_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_52_Merge(RGB),164,6,158
NCIH2170_TOTAL_HER2_R1_G1_2404_42_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_42_Merge(RGB),202,0,202
NCIH2170_TOTAL_HER2_R1_G0_2501_106_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_106,132,0,132
NCIH2170_HIGH_HER2_R1_G2_24_10_27_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_27_Merge(RGB),204,1,203
